MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Current - Output (Max),Current - Supply,Features,Grade,Internal Switch(s),Number of Channels,Operating Temperature,Programmable Features,Qualification,Series,Type,Voltage - Supply
ADM1070ART-REEL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V SOT23-6,linear-audio-amplifiers,0,0.0,SOT-23-6,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1070.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1070ART-REEL7/623344,-48V,,850 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Circuit Breaker, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-77V ~ -36V
ADM1070ARTZ-REEL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V SOT23-6,linear-audio-amplifiers,5827,5.45,SOT-23-6,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1070.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1070ARTZ-REEL7/994985,-48V,,850 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Circuit Breaker, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-77V ~ -36V
ADM1073ARU,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 14TSSOP,linear-audio-amplifiers,0,0.0,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1073.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073ARU/997686,-48V,,300 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-80V ~ -35V
ADM1073ARUZ,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 14TSSOP,linear-audio-amplifiers,0,7.86,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1073.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073ARUZ/768718,-48V,,300 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-80V ~ -35V
ADM1073ARUZ-REEL,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 14TSSOP,linear-audio-amplifiers,0,4.52506,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1073.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073ARUZ-REEL/994408,-48V,,300 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-80V ~ -35V
ADM1073ARUZ-REEL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 14TSSOP,linear-audio-amplifiers,500,7.86,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1073.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073ARUZ-REEL7/994974,-48V,,300 µA,Auto Retry,,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,Hot Swap Controller,-80V ~ -35V
ADM1073BRUZ,Analog Devices Inc.,IC CTRLR HOTSWAP -48V 14TSSOP,linear-audio-amplifiers,0,0.0,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073BRUZ/6193952,,,,,,,,,,,,,
ADM1073BRUZ-REEL7,Analog Devices Inc.,IC CTRLR HOTSWAP -48V 14TSSOP,linear-audio-amplifiers,0,0.0,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/package-pcb-resources/tape-and-reel-packaging.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1073BRUZ-REEL7/6194129,,,,,,,,,,,,,
ADM1075-1ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28LFCSP,linear-audio-amplifiers,0,0.0,"28-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-1ACPZ/3232893,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-1ACPZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28LFCSP,linear-audio-amplifiers,0,0.0,"28-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-1ACPZ-RL7/3232894,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-1ARUZ,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28TSSOP,linear-audio-amplifiers,0,0.0,"28-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-1ARUZ/2793336,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-1ARUZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28TSSOP,linear-audio-amplifiers,0,0.0,"28-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-1ARUZ-RL7/3043459,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-2ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28LFCSP,linear-audio-amplifiers,490,0.0,"28-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-2ACPZ/3232892,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-2ACPZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28LFCSP,linear-audio-amplifiers,0,0.0,"28-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-2ACPZ-RL7/3232895,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-2ARUZ,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28TSSOP,linear-audio-amplifiers,39,18.01,"28-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-2ARUZ/2793330,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1075-2ARUZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR -48V 28TSSOP,linear-audio-amplifiers,0,0.0,"28-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1075.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1075-2ARUZ-RL7/3043461,-48V,,5.5 mA,"Auto Retry, PMBus",,No,1,-40°C ~ 85°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",-80V ~ -35V
ADM1170-1AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,1020,7.2,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1170-1AUJZ-RL7/1154260,General Purpose,,650 µA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1170-2AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,223,7.2,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1170.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1170-2AUJZ-RL7/1154261,General Purpose,,650 µA,"I2C, Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1171-1AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,0,4.30126,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1171-1AUJZ-RL7/1154262,General Purpose,,650 µA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1171-2AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,2993,7.53,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1171.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1171-2AUJZ-RL7/1154263,General Purpose,,650 µA,"I2C, Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1172-1AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,2244,6.3,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1172-1AUJZ-RL7/1154264,General Purpose,,650 µA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1172-2AUJZ-RL7,Analog Devices Inc.,IC HOT SWAP CTRLR GP TSOT23-8,linear-audio-amplifiers,1929,6.87,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1172.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1172-2AUJZ-RL7/1154265,General Purpose,,650 µA,"Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,Hot Swap Controller,2.7V ~ 16.5V
ADM1175-1ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,0,5.00798,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1175.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1175-1ARMZ-R7/1200203,General Purpose,,1.7 mA,"Auto Retry, I2C, OVP, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1175-2ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,0,5.00798,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1175.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1175-2ARMZ-R7/1200204,General Purpose,,1.7 mA,"I2C, Latched Fault, OVP, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1175-3ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,0,0.0,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1175.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1175-3ARMZ-R7/1200205,General Purpose,,1.7 mA,"Auto Retry, I2C, OVP, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1175-4ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,0,0.0,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1175.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1175-4ARMZ-R7/1200206,General Purpose,,1.7 mA,"I2C, Latched Fault, OVP, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1176-1ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,880,8.42,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1176.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1176-1ARMZ-R7/1200207,General Purpose,,1.7 mA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1176-2ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,404,8.42,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1176.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1176-2ARMZ-R7/1200208,General Purpose,,1.7 mA,"I2C, Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1177-1ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,1613,8.42,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1177.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1177-1ARMZ-R7/1200209,General Purpose,,1.7 mA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1177-2ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,641,8.42,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1177.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1177-2ARMZ-R7/1200210,General Purpose,,1.7 mA,"I2C, Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1178-1ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,1570,9.02,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1178.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1178-1ARMZ-R7/1200211,General Purpose,,1.7 mA,"Auto Retry, I2C, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1178-2ARMZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 10MSOP,linear-audio-amplifiers,0,9.02,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1178.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1178-2ARMZ-R7/1200212,General Purpose,,1.7 mA,"I2C, Latched Fault, UVLO",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, Turn On Voltage",,,"Hot Swap Controller, Monitor",3.15V ~ 16.5V
ADM1270ACPZ-R2,Analog Devices Inc.,HIGH VOLTAGE CURRENT LIMIT,linear-audio-amplifiers,231,3.54,"16-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1270.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1270ACPZ-R2/14553168,General Purpose,,360 µA,,,No,1,-40°C ~ 125°C,"Auto Retry, Circuit Breaker, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,Hot Swap Controller,4V ~ 60V
ADM1270ACPZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 16LFCSP,linear-audio-amplifiers,11385,3.54,"16-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1270.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1270ACPZ-R7/5175811,General Purpose,,360 µA,,,No,1,-40°C ~ 125°C,"Auto Retry, Circuit Breaker, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,Hot Swap Controller,4V ~ 60V
ADM1270ARQZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 16QSOP,linear-audio-amplifiers,114,5.99,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1270.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1270ARQZ/5993928,General Purpose,,360 µA,,,No,1,-40°C ~ 125°C,"Auto Retry, Circuit Breaker, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,Hot Swap Controller,4V ~ 60V
ADM1270ARQZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 16QSOP,linear-audio-amplifiers,2736,5.99,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1270.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1270ARQZ-R7/5055885,General Purpose,,360 µA,,,No,1,-40°C ~ 125°C,"Auto Retry, Circuit Breaker, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,Hot Swap Controller,4V ~ 60V
ADM1272-1ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 48LFCSP,linear-audio-amplifiers,0,0.0,"48-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1272.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1272-1ACPZ/7230436,General Purpose,,6 mA,PMBus,,No,1,-40°C ~ 125°C,"Current Limit, Slew Rate, Thermal Limit",,,"Hot Swap Controller, Monitor",16V ~ 80V
ADM1272-1ACPZ-RL,Analog Devices Inc.,IC HOT SWAP CTRLR GP 48LFCSP,linear-audio-amplifiers,0,0.0,"48-WFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1272.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1272-1ACPZ-RL/7230437,General Purpose,,6 mA,PMBus,,No,1,-40°C ~ 125°C,"Current Limit, Slew Rate, Thermal Limit",,,"Hot Swap Controller, Monitor",16V ~ 80V
ADM1273-1ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 48LFCSP,linear-audio-amplifiers,0,29.15,"48-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adm1273.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1273-1ACPZ/24747712,General Purpose,,6 mA,"Auto Retry, Fault Timeout, I2C, Latched Fault, OVP, PMBus, SMBus, UVLO",,No,1,-40°C ~ 105°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, Slew Rate, UVLO",,,"Hot Swap Controller, Monitor",16V ~ 80V
ADM1273-1ACPZ-RL,Analog Devices Inc.,IC HOT SWAP CTRLR GP 48LFCSP,linear-audio-amplifiers,0,29.15,"48-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/adm1273.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1273-1ACPZ-RL/24747714,General Purpose,,6 mA,"Auto Retry, Fault Timeout, I2C, Latched Fault, OVP, PMBus, SMBus, UVLO",,No,1,-40°C ~ 105°C,"Circuit Breaker, Current Limit, Fault Timeout, OVP, Slew Rate, UVLO",,,"Hot Swap Controller, Monitor",16V ~ 80V
ADM1275-1ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20LFCSP,linear-audio-amplifiers,485,0.0,"20-WQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-1ACPZ/2606698,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-1ACPZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20LFCSP,linear-audio-amplifiers,0,0.0,"20-WQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-1ACPZ-R7/2606696,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-1ARQZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20QSOP,linear-audio-amplifiers,138,0.0,"20-SSOP (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-1ARQZ/2507325,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-1ARQZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20QSOP,linear-audio-amplifiers,0,0.0,"20-SSOP (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-1ARQZ-R7/2506924,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-2ARQZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 16QSOP,linear-audio-amplifiers,0,0.0,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-2ARQZ/2507291,General Purpose,,5 mA,"Latched Fault, PMBus",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-2ARQZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 16QSOP,linear-audio-amplifiers,0,0.0,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-2ARQZ-R7/2506925,General Purpose,,5 mA,"Latched Fault, PMBus",,No,1,-40°C ~ 85°C,"Current Limit, Fault Timeout, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-3ACPZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20LFCSP,linear-audio-amplifiers,485,0.0,"20-WQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-3ACPZ/2606697,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-3ACPZ-R7,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20LFCSP,linear-audio-amplifiers,0,0.0,"20-WQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-3ACPZ-R7/2606695,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
ADM1275-3ARQZ,Analog Devices Inc.,IC HOT SWAP CTRLR GP 20QSOP,linear-audio-amplifiers,0,0.0,"20-SSOP (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM1275.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM1275-3ARQZ/2507309,General Purpose,,5 mA,PMBus,,No,1,-40°C ~ 85°C,"Auto Retry, Current Limit, Fault Timeout, Latched Fault, OVP, UVLO",,,"Hot Swap Controller, Monitor",2.95V ~ 20V
